500,1,low,100,10,1,1
500,1,low,100,10,1,2
500,1,low,100,10,1,3
500,1,low,100,10,1,4
500,1,low,100,10,1,5
500,1,low,100,10,1,6
500,1,low,100,10,1,7
500,1,low,100,10,1,8
500,1,low,100,10,1,9
500,1,low,100,10,1,10
500,1,low,100,10,2,1
500,1,low,100,10,2,2
500,1,low,100,10,2,3
500,1,low,100,10,2,4
500,1,low,100,10,2,5
500,1,low,100,10,2,6
500,1,low,100,10,2,7
500,1,low,100,10,2,8
500,1,low,100,10,2,9
500,1,low,100,10,2,10
500,1,low,100,10,3,1
500,1,low,100,10,3,2
500,1,low,100,10,3,3
500,1,low,100,10,3,4
500,1,low,100,10,3,5
500,1,low,100,10,3,6
500,1,low,100,10,3,7
500,1,low,100,10,3,8
500,1,low,100,10,3,9
500,1,low,100,10,3,10
500,1,low,100,10,4,1
500,1,low,100,10,4,2
500,1,low,100,10,4,3
500,1,low,100,10,4,4
500,1,low,100,10,4,5
500,1,low,100,10,4,6
500,1,low,100,10,4,7
500,1,low,100,10,4,8
500,1,low,100,10,4,9
500,1,low,100,10,4,10
500,1,low,100,10,5,1
500,1,low,100,10,5,2
500,1,low,100,10,5,3
500,1,low,100,10,5,4
500,1,low,100,10,5,5
500,1,low,100,10,5,6
500,1,low,100,10,5,7
500,1,low,100,10,5,8
500,1,low,100,10,5,9
500,1,low,100,10,5,10
500,1,low,100,10,6,1
500,1,low,100,10,6,2
500,1,low,100,10,6,3
500,1,low,100,10,6,4
500,1,low,100,10,6,5
500,1,low,100,10,6,6
500,1,low,100,10,6,7
500,1,low,100,10,6,8
500,1,low,100,10,6,9
500,1,low,100,10,6,10
500,1,low,100,10,7,1
500,1,low,100,10,7,2
500,1,low,100,10,7,3
500,1,low,100,10,7,4
500,1,low,100,10,7,5
500,1,low,100,10,7,6
500,1,low,100,10,7,7
500,1,low,100,10,7,8
500,1,low,100,10,7,9
500,1,low,100,10,7,10
500,1,low,100,10,8,1
500,1,low,100,10,8,2
500,1,low,100,10,8,3
500,1,low,100,10,8,4
500,1,low,100,10,8,5
500,1,low,100,10,8,6
500,1,low,100,10,8,7
500,1,low,100,10,8,8
500,1,low,100,10,8,9
500,1,low,100,10,8,10
500,1,low,100,10,9,1
500,1,low,100,10,9,2
500,1,low,100,10,9,3
500,1,low,100,10,9,4
500,1,low,100,10,9,5
500,1,low,100,10,9,6
500,1,low,100,10,9,7
500,1,low,100,10,9,8
500,1,low,100,10,9,9
500,1,low,100,10,9,10
500,1,low,100,10,10,1
500,1,low,100,10,10,2
500,1,low,100,10,10,3
500,1,low,100,10,10,4
500,1,low,100,10,10,5
500,1,low,100,10,10,6
500,1,low,100,10,10,7
500,1,low,100,10,10,8
500,1,low,100,10,10,9
500,1,low,100,10,10,10
500,1,low,100,10,11,1
500,1,low,100,10,11,2
500,1,low,100,10,11,3
500,1,low,100,10,11,4
500,1,low,100,10,11,5
500,1,low,100,10,11,6
500,1,low,100,10,11,7
500,1,low,100,10,11,8
500,1,low,100,10,11,9
500,1,low,100,10,11,10
500,1,low,100,10,12,1
500,1,low,100,10,12,2
500,1,low,100,10,12,3
500,1,low,100,10,12,4
500,1,low,100,10,12,5
500,1,low,100,10,12,6
500,1,low,100,10,12,7
500,1,low,100,10,12,8
500,1,low,100,10,12,9
500,1,low,100,10,12,10
500,1,low,100,10,13,1
500,1,low,100,10,13,2
500,1,low,100,10,13,3
500,1,low,100,10,13,4
500,1,low,100,10,13,5
